category,id,text,desc,shortdesc,price,icon,dressImage,sta,will,int,cha,grace,moral,sense,rep,stress,mana,cook
dress,ewear,普段着,娘の普段着。,test,0,resources/icon/d01.png,resources/scg/d01.png,0,0,0,0,0,0,0,0,0,0,0
dress,ewear2,普段着2,娘の普段着。,test,0,resources/icon/d01.png,resources/scg/d01.png,0,0,0,0,0,0,0,0,0,0,0
dress,ewear3,普段着3,娘の普段着。,test,0,resources/icon/d01.png,resources/scg/d01.png,0,0,0,0,0,0,0,0,0,0,0
dress,ewear4,普段着4,娘の普段着。,test,0,resources/icon/d01.png,resources/scg/d01.png,0,0,0,0,0,0,0,0,0,0,0
dress,ewear5,普段着5,娘の普段着。,test,0,resources/icon/d01.png,resources/scg/d01.png,0,0,0,0,0,0,0,0,0,0,0
dress,ewear6,普段着6,娘の普段着。,test,0,resources/icon/d01.png,resources/scg/d01.png,0,0,0,0,0,0,0,0,0,0,0
dress,ewear7,普段着7,娘の普段着。,test,0,resources/icon/d01.png,resources/scg/d01.png,0,0,0,0,0,0,0,0,0,0,0
dress,ewear8,普段着8,娘の普段着。,test,0,resources/icon/d01.png,resources/scg/d01.png,0,0,0,0,0,0,0,0,0,0,0
dress,ewear9,普段着9,娘の普段着。,test,0,resources/icon/d01.png,resources/scg/d01.png,0,0,0,0,0,0,0,0,0,0,0
dress,ewear10,普段着10,娘の普段着。,test,0,resources/icon/d01.png,resources/scg/d01.png,0,0,0,0,0,0,0,0,0,0,0
dress,ewear11,普段着11,娘の普段着。,test,0,resources/icon/d01.png,resources/scg/d01.png,0,0,0,0,0,0,0,0,0,0,0
dress,ewear12,普段着12,娘の普段着。,test,0,resources/icon/d01.png,resources/scg/d01.png,0,0,0,0,0,0,0,0,0,0,0
dress,pajamas,パジャマ,娘のパジャマ。,test,0,resources/icon/d02.png,resources/scg/d02.png,0,0,0,0,0,0,0,0,0,0,0
dress,swear,夏服,涼しく着られる夏物の洋服。,test,180,resources/icon/d03.png,resources/scg/d03.png,0,0,0,0,0,0,10,0,0,0,0
dress,wwear,冬服,暖かく着られる冬物の洋服。,test,220,resources/icon/d04.png,resources/scg/d04.png,0,0,0,0,0,0,10,0,0,0,0
dress,aprondress,エプロンワンピ,エプロン付きのカントリー 風ワンピース。,test,400,resources/icon/d05.png,resources/scg/d05.png,0,0,0,10,0,10,0,0,0,0,0
dress,sundaybest,外出着,娘の魅力を引き出せる可愛い外出着。,test,500,resources/icon/d06.png,resources/scg/d06.png,0,0,0,25,0,0,0,0,0,0,0
instant,handker,ハンカチ,シンプルだが上質のリネンハンカチ。,test,0,resources/icon.png,,0,10,0,0,0,0,5,0,0,0,0
instant,taddybear,テディベア,大きいテディベア。ちょっと困ったような顔が可愛い。,test,150,resources/icon.png,,0,20,0,0,0,10,0,0,0,0,0
instant,postcard,絵ハガキ,外国の風景が描かれた絵ハガキ。送り手はあなたの弟。,test,0,resources/icon.png,,0,0,0,0,0,0,10,0,0,0,0
instant,lobster,ロブスター料理,水の都の名物、ロブスターのオーブン焼き。,test,300,resources/icon.png,,20,0,0,0,0,0,0,0,0,0,0
instant,childrunch,お子様ランチ,お子様が好きなものがいっぱい揃ってるメニュー。,test,150,resources/icon.png,,0,10,0,0,0,0,5,0,0,0,0
instant,vegestew,野菜シチュー,ほうれん草とニンジンが沢山入ってる、とてもヘルシーなシチュー。,test,150,resources/icon.png,,10,0,0,0,0,0,0,0,0,0,5
instant,eastrunch,東方風ランチ,「ナットウオニギリ」と「ウメボシ」のセット。頭にいいらしい。,test,200,resources/icon.png,,0,0,15,0,0,0,0,0,0,0,0
instant,strgelato,苺のジェラート,春苺の果汁で作った甘いジェラート。,test,130,resources/icon.png,,0,0,0,0,0,0,8,0,-5,0,0
