id,gold,sta,will,int,cha,grace,moral,sense,rep,stress,sword,magic,alchemy,music,dance,coooking,logic,wis,refa,relucy,relui
homesc,-5,-0.3,0,0.5,0,0,0,0.2,0,0.05,0,0,0,0,0,0,0.1,0.1,0.2,0,0
homeex,-5,0.6,0.3,-0.3,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.2,0,0
sword,-13,0.2,0,0,0,0,0,-0.1,,0.1,0.9,0,0,0,0,0,0,0,0,0,0
alchemy,-18,-0.2,,0.2,,,,,,0.15,,0.1,0.9,0,0,0,0.2,0,0,0,0
music,-17,,,,,0.2,,0.3,,0.13,,,,0.8,,,,-0.2,0,0,0
tea,-13,-0.1,0.1,,,0.9,,0.2,,0.1,,,,,,,,-0.1,0,0,0
housework,5,,0.5,,,,0.2,-0.1,,0.1,-0.2,,,,,0.3,,,0,0,0
orchard,14,0.6,0.3,,-0.2,-0.2,,,,0.2,,-0.2,,,,,,,0,0,0
cake,13,-0.1,,,0.2,,,0.2,,0.2,-0.2,,,,,0.3,,,0,0,0
gondola,16,0.6,,-0.2,0.1,-0.2,,,,0.3,,,,,,,,0.2,0,0,0
sleep,0,-0.05,-0.03,-0.05,-0.05,-0.05,-0.03,-0.05,,-0.7,,,,,,,,,0.7,0,0
